SrNo,College_Code,Institue_Name,Address,Email,District,Principal_Name,Office_No,Personal_No,TPO_Name,Autonomy_Status,Year_of_Establishment
1,1002,"Government College of Engineering, Amravati","VMV Road, Near Kathora Naka, Amravati",principal@gcoea.ac.in,Amravati,Dr. R. S. Dalu,2531929,2531930,P. P. Bhatkar,Autonomous,1964
2,1012,"Government Engineering College, Yavatmal","Post Box N. 24, Dhamangaon Road, Yavatmal",office.gpyavatmal@dtemaharashtra.gov.in,Yavatmal,Mr. N.N.Shende,7232243,7232238,Mahejabin M. Mujawar,Non-Autonomous,2018
3,1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","S.S.G.M.C.E Campus, Khamgaon Road, Shegaon Dist. Buldhana",principal@ssgmce.ac.in,Buldhana,Dr. S. B. Somani,8669638081,252216,PROF. A.V. PATIL,Non-Autonomous,1983
4,1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati","Anjangaon Bari Road, Badnera, Amravati",principal@mitra.ac.in,Amravati,Dr. A. P. Bodkhe,2681246,2681246,Mr. R. V. Adwanikar,Non-Autonomous,1983
5,1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati","Sipna campus, Infront of Nemani Godown, Badnera Rd., Amravati",sipnaoffice@gmail.com,Amravati,Dr. Sanjay M. Kherde,2522342,2522343,Shyamsundar Bhojraj Gupta,Non-Autonomous,1999
6,1116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola","Babhulgaon(Jn), Murtizapur Road, National Highway No. 6, Akola",principalcoeta@gmail.com,Akola,Prof. Dr. S.K.Deshmukh,2259069,2456688,Mr. N. B. Gawande,Non-Autonomous,1983
7,1119,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali","Anuradhha Nagar, Sakegaon Road, Chikhali Dist. Buldhana",annprincipal55@gmail.com,Buldhana,Dr. Arun N. Nanhai,242063,242580,Prof. Vijay D.Gurudasani,Non-Autonomous,1993
8,1120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal","MIDC, Lohara, Amaravati Road, Yavatmal",jdiet_yml@bsnl.in,Yavatmal,Dr. Ramchandra Suresh Tatwawadi,7447797962,7447797963,Avinash Navghare,Non-Autonomous,1996
9,1121,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati","Hanuman Vyayam Nagar, H.V.P.M. Campus, Amravati",principal@hvpmcoet.in,Amravati,Dr. A.B.Marathe,2563422,2563422,Mr. S.V.Dhole,Non-Autonomous,2002
10,1122,"Dr. Bhausaheb Nadurkar College of Engineering, Waghapur,Yavatmal","Shri Saty Sai Krida Nagari, Waghapur Road, Yavatmal",dbncoetytl@gmail.com,Yavatmal,Prof.Abhijeet Vitthal Shinde,246162,246166,Prof. Ravi V. Nadimpalli,Non-Autonomous,2007
